objectid,stationcode,sampledate,fieldreplicate,sampletypecode,fieldsampleid,labsampleid,labbatch,analysisdate,labreplicate,matrixname,methodname,analytename,fractionname,unit,dilfactor,result,resqualcode,mdl,rl,qacode,expectedvalue,labagencycode,labresultcomments,globalid,created_user,created_date,last_edited_user,last_edited_date,login_email,login_agency,login_owner,login_year,login_project,lastchangedate,submissionid,legacy,projectcode,chemistryresultsrecordid,chemistrybatchrecordid
646,SMC26288,2009-05-12T07:00:00Z,1,Grab,WR152778,993756,234213,2009-05-13T07:00:00Z,1,samplewater,EPA 120.1,ElectricalConductivity,Total,umhos/cm,1,1180,=,1,1,None,-88,ASL,NA,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:27:03Z,3325,NA,NA,21753,728
647,SMC26288,2009-05-12T07:00:00Z,1,Grab,WR152778,993756,234213,2009-05-13T07:00:00Z,1,samplewater,EPA 180.1,Turbidity,Total,NTU,1,0.31,=,0.2,0.2,None,-88,ASL,NA,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:27:03Z,3325,NA,NA,21754,728
652,SMC26288,2009-05-12T07:00:00Z,1,Grab,WR152778,993756,234213,2009-05-13T07:00:00Z,1,samplewater,SM 4500-H+ B,pH,Total,none,1,7.8500000000000005,=,0.1,0.2,None,-88,ASL,NA,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:27:03Z,3325,NA,NA,21759,728
716,SMC26288,2009-05-12T07:00:00Z,1,Grab,WR152778,Not Recorded,W9E0620,2009-05-15T07:00:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,280,=,2,2,None,-88,WKL,NA,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:27:03Z,3325,NA,NA,21823,710
796,SMC26288,2009-05-12T07:00:00Z,1,Grab,WR152784,Not Recorded,6316016,2009-05-21T07:00:00Z,1,sediment,SM 4500-H+ B,pH,Not Recorded,none,1,7.7999999999999998,=,0.1,0.2,None,-88,CRGML,NA,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:27:03Z,3325,NA,NA,21903,733
862,SMC00531,2009-05-18T07:00:00Z,1,Grab,WR153039,994954,234517,2009-05-20T07:00:00Z,1,samplewater,EPA 120.1,ElectricalConductivity,Total,umhos/cm,1,2140,=,1,1,None,-88,ASL,NA,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:25:49Z,3325,NA,NA,21969,729
863,SMC00531,2009-05-18T07:00:00Z,1,Grab,WR153039,994954,234517,2009-05-20T07:00:00Z,1,samplewater,EPA 180.1,Turbidity,Total,NTU,1,0.75,=,0.2,0.2,None,-88,ASL,NA,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:25:49Z,3325,NA,NA,21970,729
868,SMC00531,2009-05-18T07:00:00Z,1,Grab,WR153039,994954,234517,2009-05-19T07:00:00Z,1,samplewater,SM 4500-H+ B,pH,Total,none,1,8,=,0.1,0.2,None,-88,ASL,NA,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:25:49Z,3325,NA,NA,21975,729
932,SMC00531,2009-05-18T07:00:00Z,1,Grab,WR153039,Not Recorded,W9E1182,2009-05-30T07:00:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,87,=,2,2,None,-88,WKL,NA,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:25:50Z,3325,NA,NA,22039,717
1012,SMC00531,2009-05-18T07:00:00Z,1,Grab,WR153045,Not Recorded,6316016,2009-05-21T07:00:00Z,1,sediment,SM 4500-H+ B,pH,Not Recorded,none,1,7.9000000000000004,=,0.1,0.2,None,-88,CRGML,NA,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:25:49Z,3325,NA,NA,22119,733
1078,SMC00873,2009-05-18T07:00:00Z,1,Grab,WR153040,994955,234517,2009-05-20T07:00:00Z,1,samplewater,EPA 120.1,ElectricalConductivity,Total,umhos/cm,1,1290,=,1,1,None,-88,ASL,NA,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:25:57Z,3325,NA,NA,22185,729
1079,SMC00873,2009-05-18T07:00:00Z,1,Grab,WR153040,994955,234517,2009-05-20T07:00:00Z,1,samplewater,EPA 180.1,Turbidity,Total,NTU,1,0.92000000000000004,=,0.2,0.2,None,-88,ASL,NA,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:25:57Z,3325,NA,NA,22186,729
1084,SMC00873,2009-05-18T07:00:00Z,1,Grab,WR153040,994955,234517,2009-05-19T07:00:00Z,1,samplewater,SM 4500-H+ B,pH,Total,none,1,7.4000000000000004,=,0.1,0.2,None,-88,ASL,NA,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:25:57Z,3325,NA,NA,22191,729
1148,SMC00873,2009-05-18T07:00:00Z,1,Grab,WR153040,Not Recorded,W9E1182,2009-05-30T07:00:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,29,=,2,2,None,-88,WKL,NA,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:25:57Z,3325,NA,NA,22255,717
