objectid,stationcode,sampledate,fieldreplicate,sampletypecode,fieldsampleid,labsampleid,labbatch,analysisdate,labreplicate,matrixname,methodname,analytename,fractionname,unit,dilfactor,result,resqualcode,mdl,rl,qacode,expectedvalue,labagencycode,labresultcomments,globalid,created_user,created_date,last_edited_user,last_edited_date,login_email,login_agency,login_owner,login_year,login_project,lastchangedate,submissionid,legacy,projectcode,chemistryresultsrecordid,chemistrybatchrecordid
12884,SMC00288,2009-06-18T07:00:00Z,1,Grab,SGLR00288,86110-R2,6427017,2009-06-24T07:00:00Z,2,samplewater,SM 2320 B,Alkalinity as CaCO3,None,mg/L,1,246,NA,1,5,None,-88,CRGML,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:25:38Z,3496,NA,NA,52409,913
12918,SMC00288,2009-06-18T07:00:00Z,1,MS1,SGLR00288,86110-MS1,6427017,2009-06-24T07:00:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,None,mg/L,1,324.90000000000003,NA,1,5,None,96,CRGML,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:25:38Z,3496,NA,NA,52443,913
12952,SMC00288,2009-06-18T07:00:00Z,1,MS1,SGLR00288,86110-MS2,6427017,2009-06-24T07:00:00Z,2,samplewater,SM 2320 B,Alkalinity as CaCO3,None,mg/L,1,332.60000000000002,NA,1,5,None,96,CRGML,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:25:38Z,3496,NA,NA,52477,913
13026,SMC00382,2009-06-23T07:00:00Z,1,Grab,SGLR00382,86194-R1,6427023,2009-06-25T07:00:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,None,mg/L,1,182,NA,1,5,None,-88,CRGML,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:25:44Z,3496,NA,NA,52551,917
13226,SMC00464,2009-05-08T07:00:00Z,1,Grab,SGLR00464,84974-R1,6327020,2009-05-11T07:00:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,None,mg/L,1,134,NA,1,5,None,-88,CRGML,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:25:47Z,3496,NA,NA,52751,843
13300,SMC00480,2009-05-13T07:00:00Z,1,Grab,SGUR00480,85191-R1,6327024,2009-05-19T07:00:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,None,mg/L,1,164,NA,1,5,None,-88,CRGML,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:25:49Z,3496,NA,NA,52825,845
13361,SMC00480,2009-05-13T07:00:00Z,1,Grab,SGUR00480,85191-R2,6327024,2009-05-19T07:00:00Z,2,samplewater,SM 2320 B,Alkalinity as CaCO3,None,mg/L,1,168,NA,1,5,None,-88,CRGML,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:25:49Z,3496,NA,NA,52886,845
13394,SMC00480,2009-05-13T07:00:00Z,1,MS1,SGUR00480,85191-MS1,6327024,2009-05-19T07:00:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,None,mg/L,1,259.5,NA,1,5,None,96,CRGML,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:25:49Z,3496,NA,NA,52919,845
13427,SMC00480,2009-05-13T07:00:00Z,1,MS1,SGUR00480,85191-MS2,6327024,2009-05-19T07:00:00Z,2,samplewater,SM 2320 B,Alkalinity as CaCO3,None,mg/L,1,255.70000000000002,NA,1,5,None,96,CRGML,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:25:49Z,3496,NA,NA,52952,845
13500,SMC00480,2009-05-13T07:00:00Z,2,Grab,SGUR00480,85193-R1,6327024,2009-05-19T07:00:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,None,mg/L,1,166,NA,1,5,None,-88,CRGML,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:25:49Z,3496,NA,NA,53025,845
13574,SMC01278,2009-06-17T07:00:00Z,1,Grab,SGLR01278,86055-R1,6427017,2009-06-24T07:00:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,None,mg/L,1,150,NA,1,5,None,-88,CRGML,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:26:07Z,3496,NA,NA,53099,913
13650,SMC01424,2009-07-01T07:00:00Z,1,Grab,SGUR01424,86522-R1,6427026,2009-07-14T07:00:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,None,mg/L,1,220,NA,1,5,None,-88,CRGML,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:26:09Z,3496,NA,NA,53175,920
13711,SMC01424,2009-07-01T07:00:00Z,1,Grab,SGUR01424,86522-R2,6427026,2009-07-14T07:00:00Z,2,samplewater,SM 2320 B,Alkalinity as CaCO3,None,mg/L,1,228,NA,1,5,None,-88,CRGML,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:26:09Z,3496,NA,NA,53236,920
13747,SMC01424,2009-07-01T07:00:00Z,1,MS1,SGUR01424,86522-MS1,6427026,2009-07-14T07:00:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,None,mg/L,1,301.69999999999999,NA,1,5,None,96,CRGML,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:26:09Z,3496,NA,NA,53272,920
13781,SMC01424,2009-07-01T07:00:00Z,1,MS1,SGUR01424,86522-MS2,6427026,2009-07-14T07:00:00Z,2,samplewater,SM 2320 B,Alkalinity as CaCO3,None,mg/L,1,309.40000000000003,NA,1,5,None,96,CRGML,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:26:09Z,3496,NA,NA,53306,920
13854,SMC02656,2009-06-23T07:00:00Z,1,Grab,SGLR02656,86196-R1,6427023,2009-06-25T07:00:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,None,mg/L,1,130,NA,1,5,None,-88,CRGML,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:26:26Z,3496,NA,NA,53379,917
13859,SMC02656,2009-06-23T07:00:00Z,1,Grab,SGLR02656,86196-R2,6427023,2009-06-25T07:00:00Z,2,samplewater,SM 2320 B,Alkalinity as CaCO3,None,mg/L,1,126,NA,1,5,None,-88,CRGML,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:26:26Z,3496,NA,NA,53384,917
13861,SMC02656,2009-06-23T07:00:00Z,1,MS1,SGLR02656,86196-MS1,6427023,2009-06-25T07:00:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,None,mg/L,1,228.80000000000001,NA,1,5,None,96,CRGML,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:26:26Z,3496,NA,NA,53386,917
13863,SMC02656,2009-06-23T07:00:00Z,1,MS1,SGLR02656,86196-MS2,6427023,2009-06-25T07:00:00Z,2,samplewater,SM 2320 B,Alkalinity as CaCO3,None,mg/L,1,224.90000000000001,NA,1,5,None,96,CRGML,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:26:26Z,3496,NA,NA,53388,917
13935,SMC08766,2009-05-26T07:00:00Z,1,Grab,SGMR08766,85440-R1,6427003,2009-06-03T07:00:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,None,mg/L,1,162,NA,1,5,None,-88,CRGML,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:26:49Z,3496,NA,NA,53460,911
14008,SMC09534,2009-06-17T07:00:00Z,1,Grab,SGMR09534,86056-R1,6427017,2009-06-24T07:00:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,None,mg/L,1,186,NA,1,5,None,-88,CRGML,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:26:51Z,3496,NA,NA,53533,913
15438,000NONPJ,2009-06-29T07:00:00Z,1,DUP2,Duplicate,A9F2532-01 Duplicate,9F29054_06/29/2009_None_None,2009-06-30T03:03:00Z,2,samplewater,SM 4500-H+ B,pH,None,NR,1,7.2699999999999996,NR,1,1,QAX,-88,ES,RPD 0.00,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:22:10Z,4262,NA,NA,63058,2122
15439,000NONPJ,2009-06-29T07:00:00Z,1,DUP1,Duplicate,A9F2497-01 Duplicate,9F29054_06/29/2009_None_None,2009-06-30T03:03:00Z,2,samplewater,SM 4500-H+ B,pH,None,NR,1,7.3700000000000001,NR,1,1,QAX,-88,ES,RPD 0.272,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:22:10Z,4262,NA,NA,63059,2122
15440,LABQA,2009-06-29T07:00:00Z,1,LCS,LCS,LCS,9F29054_06/29/2009_None_None,2009-06-30T03:03:00Z,1,blankwater,SM 4500-H+ B,pH,None,NR,1,4.0199999999999996,NR,1,1,NR,4,ES,PR 100,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:23:42Z,4262,NA,NA,63060,2122
15441,SMC15677,2009-06-29T07:00:00Z,1,Grab,801S15677,A9F2552-01,9F29054_06/29/2009_Not Recorded_None,2009-06-30T03:03:00Z,1,samplewater,SM 4500-H+ B,pH,None,NR,1,10.81,NR,1,1,NR,-88,ES,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:26:57Z,4262,NA,NA,63061,2123
15442,SMC11581,2009-06-29T07:00:00Z,1,Grab,801S11581,A9F2566-01,9F29054_06/29/2009_Not Recorded_None,2009-06-30T03:03:00Z,1,samplewater,SM 4500-H+ B,pH,None,NR,1,9.4199999999999999,NR,1,1,NR,-88,ES,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:26:53Z,4262,NA,NA,63062,2123
15443,SMC11581,2009-06-29T07:00:00Z,1,Grab,801S11581 (Duplicate),A9F2566-03,9F29054_06/29/2009_Not Recorded_None,2009-06-30T03:03:00Z,1,samplewater,SM 4500-H+ B,pH,None,NR,1,9.3800000000000008,NR,1,1,NR,-88,ES,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:26:53Z,4262,NA,NA,63063,2123
15712,CC3FFF,2009-12-07T08:00:00Z,1,Grab,Cranston Cottonwood 3 (Fire First F,A9L0901-03,9L08081_12/07/2009_Not Recorded_None,2009-12-09T04:00:00Z,1,samplewater,SM 2510 B,SpecificConductivity,None,umhos/cm,1,563,NR,1,1,NR,-88,ES,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:23:13Z,4262,NA,NA,63332,2176
15713,CC3FFF,2009-12-07T08:00:00Z,1,Grab,Cranston Cottonwood 3 (Fire First F,A9L0901-03,9L08081_12/07/2009_Not Recorded_None,2009-12-09T04:00:00Z,1,samplewater,SM 4500-H+ B,pH,None,NR,1,7.25,NR,1,1,NR,-88,ES,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:23:13Z,4262,NA,NA,63333,2176
15714,CC2FFF,2009-12-07T08:00:00Z,1,Grab,Cranston Cottonwood 2 (Fire First F,A9L0901-02,9L08081_12/07/2009_Not Recorded_None,2009-12-09T04:00:00Z,1,samplewater,SM 2510 B,SpecificConductivity,None,umhos/cm,1,555,NR,1,1,NR,-88,ES,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:23:13Z,4262,NA,NA,63334,2176
15715,CC2FFF,2009-12-07T08:00:00Z,1,Grab,Cranston Cottonwood 2 (Fire First F,A9L0901-02,9L08081_12/07/2009_Not Recorded_None,2009-12-09T04:00:00Z,1,samplewater,SM 4500-H+ B,pH,None,NR,1,7.2300000000000004,NR,1,1,NR,-88,ES,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:23:13Z,4262,NA,NA,63335,2176
15716,CC1FFF,2009-12-07T08:00:00Z,1,Grab,Cranston Cottonwood 1 (Fire First F,A9L0901-01,9L08081_12/07/2009_Not Recorded_None,2009-12-09T04:00:00Z,1,samplewater,SM 2510 B,SpecificConductivity,None,umhos/cm,1,558,NR,1,1,NR,-88,ES,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:23:13Z,4262,NA,NA,63336,2176
15717,CC1FFF,2009-12-07T08:00:00Z,1,Grab,Cranston Cottonwood 1 (Fire First F,A9L0901-01,9L08081_12/07/2009_Not Recorded_None,2009-12-09T04:00:00Z,1,samplewater,SM 4500-H+ B,pH,None,NR,1,7.3399999999999999,NR,1,1,NR,-88,ES,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:23:13Z,4262,NA,NA,63337,2176
15718,000NONPJ,2009-12-08T08:00:00Z,1,DUP1,Duplicate,A9L0870-01 Duplicate,9L08081_12/08/2009_None_None,2009-12-09T04:00:00Z,2,samplewater,SM 2510 B,SpecificConductivity,None,umhos/cm,1,991,NR,1,1,QAX,-88,ES,RPD 0.904,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:22:10Z,4262,NA,NA,63338,2177
15719,000NONPJ,2009-12-08T08:00:00Z,1,DUP1,Duplicate,A9L0870-01 Duplicate,9L08081_12/08/2009_None_None,2009-12-09T04:00:00Z,2,samplewater,SM 4500-H+ B,pH,None,NR,1,7.0099999999999998,NR,1,1,QAX,-88,ES,RPD 0.429,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:22:10Z,4262,NA,NA,63339,2177
15720,000NONPJ,2009-12-08T08:00:00Z,1,DUP2,Duplicate,A9L0870-02 Duplicate,9L08081_12/08/2009_None_None,2009-12-09T04:00:00Z,2,samplewater,SM 2510 B,SpecificConductivity,None,umhos/cm,1,838,NR,1,1,QAX,-88,ES,RPD 0.00,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:22:10Z,4262,NA,NA,63340,2177
15721,000NONPJ,2009-12-08T08:00:00Z,1,DUP2,Duplicate,A9L0870-02 Duplicate,9L08081_12/08/2009_None_None,2009-12-09T04:00:00Z,2,samplewater,SM 4500-H+ B,pH,None,NR,1,7.5800000000000001,NR,1,1,QAX,-88,ES,RPD 0.264,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:22:10Z,4262,NA,NA,63341,2177
15722,LABQA,2009-12-08T08:00:00Z,1,LCS,LCS,LCS,9L08081_12/08/2009_None_None,2009-12-09T04:00:00Z,1,blankwater,SM 2510 B,SpecificConductivity,None,umhos/cm,1,1404,NR,1,1,NR,1410,ES,PR 99.6,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:23:43Z,4262,NA,NA,63342,2177
15723,LABQA,2009-12-08T08:00:00Z,1,LCS,LCS,LCS,9L08081_12/08/2009_None_None,2009-12-09T04:00:00Z,1,blankwater,SM 4500-H+ B,pH,None,NR,1,3.9399999999999999,NR,1,1,NR,4,ES,PR 98.5,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:23:43Z,4262,NA,NA,63343,2177
15869,CC,2009-12-11T08:00:00Z,1,Grab,Cranston Cottonwood,A9L1575-01,9L14039_12/11/2009_Not Recorded_None,2009-12-15T00:36:00Z,1,samplewater,SM 2130 B,Turbidity,None,NTU,1,38.100000000000001,NR,0.12,0.2,BV,-88,ES,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:23:13Z,4262,NA,NA,63489,2224
15870,000NONPJ,2009-12-14T08:00:00Z,1,DUP1,Duplicate,A9L1578-01 Duplicate,9L14039_12/13/2009_None_None,2009-12-15T00:36:00Z,2,samplewater,SM 2130 B,Turbidity,None,NTU,1,23.300000000000001,NR,0.12,0.2,QAX,-88,ES,RPD 0.855,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:22:10Z,4262,NA,NA,63490,2225
15871,CC5,2009-12-13T08:00:00Z,1,Grab,Cranston Cottonwood 5,A9L1575-02,9L14039_12/13/2009_Not Recorded_None,2009-12-15T00:36:00Z,1,samplewater,SM 2130 B,Turbidity,None,NTU,1,330,NR,0.12,0.2,NR,-88,ES,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:23:13Z,4262,NA,NA,63491,2226
15872,CC6,2009-12-13T08:00:00Z,1,Grab,Cranston Cottonwood 6,A9L1613-01,9L14039_12/13/2009_Not Recorded_None,2009-12-15T00:36:00Z,1,samplewater,SM 2130 B,Turbidity,None,NTU,1,73.099999999999994,NR,0.12,0.2,None,-88,ES,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:23:13Z,4262,NA,NA,63492,2226
15873,CC7,2009-12-13T08:00:00Z,1,Grab,Cranston Cottonwood 7,A9L1613-02,9L14039_12/13/2009_Not Recorded_None,2009-12-15T00:36:00Z,1,samplewater,SM 2130 B,Turbidity,None,NTU,1,60.5,NR,0.12,0.2,None,-88,ES,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:23:13Z,4262,NA,NA,63493,2226
15874,CC8,2009-12-13T08:00:00Z,1,Grab,Cranston Cottonwood 8,A9L1613-03,9L14039_12/13/2009_Not Recorded_None,2009-12-15T00:36:00Z,1,samplewater,SM 2130 B,Turbidity,None,NTU,1,14.6,NR,0.12,0.2,None,-88,ES,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:23:14Z,4262,NA,NA,63494,2226
15875,000NONPJ,2009-12-14T08:00:00Z,1,DUP2,Duplicate,A9L1633-05 Duplicate,9L14039_12/14/2009_None_None,2009-12-15T00:36:00Z,2,samplewater,SM 2130 B,Turbidity,None,NTU,1,62.899999999999999,NR,0.12,0.2,QAX,-88,ES,RPD 0.792,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:22:10Z,4262,NA,NA,63495,2227
15876,LABQA,2009-12-14T08:00:00Z,1,LCS,LCS,LCS,9L14039_12/14/2009_None_None,2009-12-15T00:36:00Z,1,blankwater,SM 2130 B,Turbidity,None,NTU,1,0.88700000000000001,NR,0.12,0.2,None,0.876,ES,PR 101,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:23:43Z,4262,NA,NA,63496,2227
15877,LABQA,2009-12-14T08:00:00Z,1,LabBlank,Blank,Blank,9L14039_12/14/2009_None_None,2009-12-15T00:36:00Z,1,blankwater,SM 2130 B,Turbidity,None,NTU,1,7.5999999999999998E-2,ND,0.12,0.2,None,-88,ES,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:23:43Z,4262,NA,NA,63497,2227
15924,CC,2009-12-11T08:00:00Z,1,Grab,Cranston Cottonwood,A9L1575-01,9L14070_12/11/2009_Not Recorded_None,2009-12-15T13:00:00Z,1,samplewater,SM 2510 B,SpecificConductivity,None,umhos/cm,1,381,NR,1,1,NR,-88,ES,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:23:13Z,4262,NA,NA,63544,2242
15925,CC,2009-12-11T08:00:00Z,1,Grab,Cranston Cottonwood,A9L1575-01,9L14070_12/11/2009_Not Recorded_None,2009-12-15T13:00:00Z,1,samplewater,SM 4500-H+ B,pH,None,NR,1,7.6699999999999999,NR,1,1,NR,-88,ES,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:23:13Z,4262,NA,NA,63545,2242
15926,CC6,2009-12-13T08:00:00Z,1,Grab,Cranston Cottonwood 6,A9L1613-01,9L14070_12/13/2009_Not Recorded_None,2009-12-15T13:00:00Z,1,samplewater,SM 2510 B,SpecificConductivity,None,umhos/cm,1,106,NR,1,1,None,-88,ES,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:23:13Z,4262,NA,NA,63546,2243
15927,CC6,2009-12-13T08:00:00Z,1,Grab,Cranston Cottonwood 6,A9L1613-01,9L14070_12/13/2009_Not Recorded_None,2009-12-15T13:00:00Z,1,samplewater,SM 4500-H+ B,pH,None,NR,1,7.3799999999999999,NR,1,1,None,-88,ES,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:23:13Z,4262,NA,NA,63547,2243
15928,CC5,2009-12-13T08:00:00Z,1,Grab,Cranston Cottonwood 5,A9L1575-02,9L14070_12/13/2009_Not Recorded_None,2009-12-15T13:00:00Z,1,samplewater,SM 2510 B,SpecificConductivity,None,umhos/cm,1,87,NR,1,1,NR,-88,ES,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:23:13Z,4262,NA,NA,63548,2243
15929,CC5,2009-12-13T08:00:00Z,1,Grab,Cranston Cottonwood 5,A9L1575-02,9L14070_12/13/2009_Not Recorded_None,2009-12-15T13:00:00Z,1,samplewater,SM 4500-H+ B,pH,None,NR,1,7.0700000000000003,NR,1,1,NR,-88,ES,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:23:13Z,4262,NA,NA,63549,2243
15930,CC7,2009-12-13T08:00:00Z,1,Grab,Cranston Cottonwood 7,A9L1613-02,9L14070_12/13/2009_Not Recorded_None,2009-12-15T13:00:00Z,1,samplewater,SM 2510 B,SpecificConductivity,None,umhos/cm,1,115,NR,1,1,None,-88,ES,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:23:14Z,4262,NA,NA,63550,2243
15931,CC7,2009-12-13T08:00:00Z,1,Grab,Cranston Cottonwood 7,A9L1613-02,9L14070_12/13/2009_Not Recorded_None,2009-12-15T13:00:00Z,1,samplewater,SM 4500-H+ B,pH,None,NR,1,7.4199999999999999,NR,1,1,None,-88,ES,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:23:14Z,4262,NA,NA,63551,2243
15932,CC8,2009-12-13T08:00:00Z,1,Grab,Cranston Cottonwood 8,A9L1613-03,9L14070_12/13/2009_Not Recorded_None,2009-12-15T13:00:00Z,1,samplewater,SM 2510 B,SpecificConductivity,None,umhos/cm,1,150,NR,1,1,None,-88,ES,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:23:14Z,4262,NA,NA,63552,2243
15933,CC8,2009-12-13T08:00:00Z,1,Grab,Cranston Cottonwood 8,A9L1613-03,9L14070_12/13/2009_Not Recorded_None,2009-12-15T13:00:00Z,1,samplewater,SM 4500-H+ B,pH,None,NR,1,7.6100000000000003,NR,1,1,None,-88,ES,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:23:14Z,4262,NA,NA,63553,2243
15934,000NONPJ,2009-12-15T08:00:00Z,1,DUP2,Duplicate,A9L1586-01 Duplicate,9L14070_12/14/2009_None_None,2009-12-15T13:00:00Z,2,samplewater,SM 2510 B,SpecificConductivity,None,umhos/cm,1,1106,NR,1,1,QAX,-88,ES,RPD 7.12,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:22:10Z,4262,NA,NA,63554,2244
15935,000NONPJ,2009-12-15T08:00:00Z,1,DUP2,Duplicate,A9L1586-01 Duplicate,9L14070_12/14/2009_None_None,2009-12-15T13:00:00Z,2,samplewater,SM 4500-H+ B,pH,None,NR,1,7.2199999999999998,NR,1,1,QAX,-88,ES,RPD 0.139,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:22:10Z,4262,NA,NA,63555,2244
15936,000NONPJ,2009-12-15T08:00:00Z,1,DUP1,Duplicate,A9L1593-01 Duplicate,9L14070_12/14/2009_None_None,2009-12-15T13:00:00Z,2,samplewater,SM 2510 B,SpecificConductivity,None,umhos/cm,1,1080,NR,1,1,QAX,-88,ES,RPD 0.646,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:22:10Z,4262,NA,NA,63556,2244
15937,000NONPJ,2009-12-15T08:00:00Z,1,DUP1,Duplicate,A9L1593-01 Duplicate,9L14070_12/14/2009_None_None,2009-12-15T13:00:00Z,2,samplewater,SM 4500-H+ B,pH,None,NR,1,6.6900000000000004,NR,1,1,QAX,-88,ES,RPD 0.299,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:22:10Z,4262,NA,NA,63557,2244
15938,LABQA,2009-12-15T08:00:00Z,1,LCS,LCS,LCS,9L14070_12/15/2009_None_None,2009-12-15T13:00:00Z,1,blankwater,SM 2510 B,SpecificConductivity,None,umhos/cm,1,1402,NR,1,1,None,1410,ES,PR 99.4,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:23:43Z,4262,NA,NA,63558,2245
15939,LABQA,2009-12-15T08:00:00Z,1,LCS,LCS,LCS,9L14070_12/15/2009_None_None,2009-12-15T13:00:00Z,1,blankwater,SM 4500-H+ B,pH,None,NR,1,3.9500000000000002,NR,1,1,None,4,ES,PR 98.8,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:23:43Z,4262,NA,NA,63559,2245
16116,LABQA,2009-12-15T08:00:00Z,1,LCS,LCS,LCS,9L15084_12/15/2009_None_None,2009-12-16T05:55:00Z,1,blankwater,SM 2510 B,SpecificConductivity,None,umhos/cm,1,1388,NR,1,1,NR,1410,ES,PR 98.4,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:23:43Z,4262,NA,NA,63736,2273
