objectid,stationcode,sampledate,sampletypecode,matrixname,fieldreplicate,labreplicate,fractionname,record_origin,origin_lastupdatedate,record_publish,total_n_mgl,total_n_mgl_rl,total_n_mgl_mdl,total_n_mgl_method,total_p_mgl,total_p_mgl_rl,total_p_mgl_mdl,total_p_mgl_method
0,000NONPJ,1950-01-01T08:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,1.1133333333333333,0.5000000000000001,0.44100000000000006,calculated,0.086,0.1,0.05,reported
1,000NONPJ,1950-01-01T08:00:00Z,Grab,samplewater,1,2,None,NA,NA,NA,0.052,0.10000000000000002,0.04800000000000001,partial,NA,NA,NA,NA
2,000NONPJ,1950-01-01T08:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,7.312333333333333,0.2,0.091,calculated,0.32249999999999995,0.08,0.03766,reported
3,000NONPJ,2010-02-03T08:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,000NONPJ,2010-02-18T08:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.0,0.1,0.1,partial,NA,NA,NA,NA
5,000NONPJ,2010-05-27T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.0,0.1,0.1,partial,NA,NA,NA,NA
6,000NONPJ,2010-06-01T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,NA,NA,NA,NA,0.103,0.05,0.01,reported
7,000NONPJ,2010-06-02T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,89.4025,0.30000000000000004,0.16899999999999998,partial,NA,NA,NA,NA
8,000NONPJ,2010-06-03T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,68.785,7.550000000000001,4.58,partial,2.44,0.5,0.028,partial
9,000NONPJ,2010-06-04T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.113,0.2,0.076,partial,0.055,0.05,0.0028,partial
10,000NONPJ,2010-06-07T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,3.21,0.1,0.1,partial,0.143,0.05,0.01,reported
11,000NONPJ,2010-06-08T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,48.88066666666666,2.8166666666666664,1.6235,partial,0.092,0.05,0.01,reported
12,000NONPJ,2010-06-09T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,192.43333333333334,1.7000000000000002,1.0023333333333333,calculated,0.028,0.05,0.0028,partial
13,000NONPJ,2010-06-10T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,35.760000000000005,5.1,3.017,partial,NA,NA,NA,NA
14,000NONPJ,2010-06-11T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,60.15,4.0,2.5,partial,NA,NA,NA,NA
15,000NONPJ,2010-06-15T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,1.49,0.30000000000000004,0.14,calculated,NA,NA,NA,NA
16,000NONPJ,2010-06-21T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,NA,NA,NA,NA,0.16,0.1,0.05,partial
17,000NONPJ,2010-06-22T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,13.616999999999999,10.1,5.917000000000001,partial,0.039,0.05,0.0028,partial
18,000NONPJ,2010-06-24T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,000NONPJ,2010-06-25T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.059,0.1,0.059,partial,2.14,0.25,0.07,reported
20,000NONPJ,2010-06-28T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,50.36,4.2,2.61,partial,1.796,0.2,0.06,reported
21,000NONPJ,2010-06-29T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,30.416999999999998,2.6,1.517,partial,0.021,0.05,0.0028,partial
22,000NONPJ,2010-07-01T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.577,0.30000000000000004,0.173,partial,NA,NA,NA,NA
23,000NONPJ,2010-07-02T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.059,0.1,0.059,partial,0.124,0.05,0.0028,partial
24,000NONPJ,2010-07-07T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,44.8,4.0,2.5,partial,NA,NA,NA,NA
25,000NONPJ,2010-07-20T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.52,0.2,0.15000000000000002,partial,NA,NA,NA,NA
26,000NONPJ,2010-08-09T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,000NONPJ,2010-08-13T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,1.23,0.2,0.15000000000000002,partial,NA,NA,NA,NA
28,000NONPJ,2011-06-09T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.54,0.1,0.05,partial,NA,NA,NA,NA
29,000NONPJ,2011-06-14T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,000NONPJ,2011-06-15T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,4.8,0.4,0.4,reported,0.29,0.05,0.01,reported
31,000NONPJ,2011-06-16T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,38.67,5.3,3.127,partial,NA,NA,NA,NA
32,000NONPJ,2011-06-17T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,3.6399999999999997,0.1,0.01,partial,NA,NA,NA,NA
33,000NONPJ,2011-06-20T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,000NONPJ,2011-06-21T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,36.02466666666667,0.4866666666666667,0.26016666666666666,calculated,0.04,0.05,0.01,reported
35,000NONPJ,2011-06-22T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,33.397000000000006,5.199999999999999,3.117,partial,NA,NA,NA,NA
36,000NONPJ,2011-06-23T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,59.129333333333335,1.7000000000000002,1.0023333333333333,calculated,0.01,0.05,0.0028,partial
37,000NONPJ,2011-06-24T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,42.056999999999995,5.1,3.01,partial,0.0,0.1,0.1,reported
38,000NONPJ,2011-06-27T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,1.52185,0.25,0.14550000000000002,partial,0.56,0.15000000000000002,0.060000000000000005,reported
39,000NONPJ,2011-06-28T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,1.604,0.30000000000000004,0.114,calculated,NA,NA,NA,NA
40,000NONPJ,2011-06-29T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,91.06349999999999,0.30000000000000004,0.18225000000000002,partial,0.0,0.1,0.05,reported
41,000NONPJ,2011-06-30T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,161.74,2.75,1.6340000000000001,partial,NA,NA,NA,NA
42,000NONPJ,2011-07-01T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,NA,NA,NA,NA,0.043,0.05,0.01,reported
43,000NONPJ,2011-07-05T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,145.50816666666665,3.5833333333333335,2.2216666666666667,partial,NA,NA,NA,NA
44,000NONPJ,2011-07-05T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,100.0,0.5,0.5,partial,NA,NA,NA,NA
45,000NONPJ,2011-07-06T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.017,0.2,0.117,partial,2.32,0.1,0.03,reported
46,000NONPJ,2011-07-07T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,67.86066666666666,6.733333333333333,4.131,partial,0.114,0.05,0.0028,partial
47,000NONPJ,2011-07-07T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,0.0,0.5,0.5,partial,NA,NA,NA,NA
48,000NONPJ,2011-07-08T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,000NONPJ,2011-07-11T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,14.4516,1.6,0.9966666666666668,partial,2.93,0.35,0.12000000000000001,reported
50,000NONPJ,2011-07-12T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.008,0.1,0.01,partial,NA,NA,NA,NA
51,000NONPJ,2011-07-13T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,3.46,0.1,0.01,partial,NA,NA,NA,NA
52,000NONPJ,2011-07-29T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,110.0,0.5,0.5,partial,NA,NA,NA,NA
53,000NONPJ,2011-07-29T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,110.0,0.5,0.5,partial,NA,NA,NA,NA
54,000NONPJ,2011-08-05T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.0,0.5,0.5,partial,NA,NA,NA,NA
55,000NONPJ,2011-08-05T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,0.0,0.5,0.5,partial,NA,NA,NA,NA
56,000NONPJ,2011-08-18T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.0,0.5,0.5,partial,NA,NA,NA,NA
57,000NONPJ,2011-08-18T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,0.0,0.5,0.5,partial,NA,NA,NA,NA
58,000NONPJ,2012-06-14T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,7.8,0.4,0.4,reported,0.2,0.05,0.01,reported
59,000NONPJ,2012-06-15T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,000NONPJ,2012-06-18T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,4.1,1.0,0.59,partial,NA,NA,NA,NA
61,000NONPJ,2012-06-19T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.071,0.2,0.08399999999999999,calculated,0.166,0.01,0.00083,partial
62,000NONPJ,2012-06-20T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,50.5,4.0,2.5,partial,6.68,1.0,0.28,reported
63,000NONPJ,2012-06-21T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,NA,NA,NA,NA,0.24,0.1,0.0056,partial
64,000NONPJ,2012-06-22T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,111.35866666666666,0.4,0.186,partial,NA,NA,NA,NA
65,000NONPJ,2012-06-25T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,NA,NA,NA,NA,11.49,1.5,0.42000000000000004,reported
66,000NONPJ,2012-06-26T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,12.40584,2.16,1.248,partial,0.164,0.05,0.0028,partial
67,000NONPJ,2012-06-27T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,24.62975,2.225,1.3907500000000002,partial,5.42,1.0,0.28,reported
68,000NONPJ,2012-06-28T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,NA,NA,NA,NA,0.782,0.01,0.00085,partial
69,000NONPJ,2012-06-29T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,16.169,2.65,1.5395,partial,0.0056,0.1,0.0056,partial
70,000NONPJ,2012-07-02T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,8.415333333333333,0.65,0.40549999999999997,partial,NA,NA,NA,NA
71,000NONPJ,2012-07-03T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.857,0.1,0.01,partial,0.185,0.01,0.00083,partial
72,000NONPJ,2012-07-05T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.0,0.1,0.074,partial,14.16,2.0,0.56,reported
73,000NONPJ,2012-07-06T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.724,0.1,0.074,partial,0.982,0.01,0.00085,partial
74,000NONPJ,2012-07-10T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,1.127,0.2,0.08399999999999999,calculated,0.138,0.01,0.00083,partial
75,000NONPJ,2013-06-04T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.4065,0.1,0.05,partial,NA,NA,NA,NA
76,000NONPJ,2013-06-04T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,0.4065,0.1,0.05,partial,NA,NA,NA,NA
77,000NONPJ,2013-06-07T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.303,0.1,0.05,partial,NA,NA,NA,NA
78,000NONPJ,2013-06-07T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,0.303,0.1,0.05,partial,NA,NA,NA,NA
79,000NONPJ,2013-06-11T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,000NONPJ,2013-06-12T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,2.7694,0.2,0.0678,calculated,0.154,0.03,0.0026,reported
81,000NONPJ,2013-06-12T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,2.3575,0.2,0.060000000000000005,calculated,0.154,0.03,0.0026,reported
82,000NONPJ,2013-06-13T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,18.935142857142857,3.2,1.8665714285714285,partial,0.032,0.1,0.02,reported
83,000NONPJ,2013-06-14T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,6.04,0.1,0.01,partial,0.043,0.060000000000000005,0.00363,partial
84,000NONPJ,2013-06-14T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,6.04,0.1,0.01,partial,0.0402,0.01,0.00083,partial
85,000NONPJ,2013-06-17T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,29.644,4.866666666666667,2.9573333333333336,partial,0.304,0.1,0.02,reported
86,000NONPJ,2013-06-19T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.0,0.1,0.048,partial,NA,NA,NA,NA
87,000NONPJ,2013-06-19T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,0.0,0.1,0.048,partial,NA,NA,NA,NA
88,000NONPJ,2013-06-21T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.23349999999999999,0.1,0.05,partial,NA,NA,NA,NA
89,000NONPJ,2013-06-21T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,0.23349999999999999,0.1,0.05,partial,NA,NA,NA,NA
90,000NONPJ,2013-06-28T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.9165000000000001,0.1,0.01,partial,0.044,0.03,0.0026,reported
91,000NONPJ,2013-06-28T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,0.9165000000000001,0.1,0.01,partial,0.044,0.03,0.0026,reported
92,000NONPJ,2013-07-02T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.278,0.1,0.05,partial,NA,NA,NA,NA
93,000NONPJ,2013-07-02T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,0.278,0.1,0.05,partial,NA,NA,NA,NA
94,000NONPJ,2013-07-05T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.0,0.1,0.048,partial,NA,NA,NA,NA
95,000NONPJ,2013-07-05T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,0.0,0.1,0.048,partial,NA,NA,NA,NA
96,000NONPJ,2013-07-16T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,4.981,0.2,0.060000000000000005,calculated,0.155,0.01,0.00083,partial
97,000NONPJ,2013-07-16T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,4.981,0.2,0.060000000000000005,calculated,0.155,0.01,0.00083,partial
98,000NONPJ,2013-07-18T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.0,0.1,0.048,partial,0.218,0.03,0.0026,reported
99,000NONPJ,2013-07-18T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,0.0,0.1,0.048,partial,0.218,0.03,0.0026,reported
100,000NONPJ,2014-04-12T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,000NONPJ,2014-04-14T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.059,0.1,0.059,partial,NA,NA,NA,NA
102,000NONPJ,2014-04-21T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.0,0.2,0.2,reported,0.0,0.05,0.01,reported
103,000NONPJ,2014-04-22T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,NA,NA,NA,NA,0.005,0.05,0.0028,partial
104,000NONPJ,2014-04-24T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.0,0.1,0.059,partial,NA,NA,NA,NA
105,000NONPJ,2014-04-28T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.0,0.15000000000000002,0.0965,partial,NA,NA,NA,NA
106,000NONPJ,2014-05-05T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,10000.0,0.2,0.2,reported,0.04,0.05,0.01,reported
107,000NONPJ,2014-05-06T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,NA,NA,NA,NA,0.0,0.05,0.0028,partial
108,000NONPJ,2014-05-07T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,10000.0,0.2,0.2,reported,0.252,0.1,0.02,reported
109,000NONPJ,2014-05-08T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,NA,NA,NA,NA,0.033,0.05,0.0028,partial
110,000NONPJ,2014-05-09T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.0,0.1,0.059,partial,NA,NA,NA,NA
111,000NONPJ,2014-05-13T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.0,0.1,0.059,partial,NA,NA,NA,NA
112,000NONPJ,2014-05-14T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.5313333333333333,0.10000000000000002,0.063,partial,NA,NA,NA,NA
113,000NONPJ,2014-05-14T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,1.15,0.2,0.111,partial,NA,NA,NA,NA
114,000NONPJ,2014-05-15T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,000NONPJ,2014-05-15T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,15.0,1.0,0.5,partial,NA,NA,NA,NA
116,000NONPJ,2014-05-16T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,NA,NA,NA,NA,0.039,0.05,0.0028,partial
117,000NONPJ,2014-05-20T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.059,0.1,0.059,partial,NA,NA,NA,NA
118,000NONPJ,2014-05-20T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,0.059,0.1,0.059,partial,NA,NA,NA,NA
119,000NONPJ,2014-05-22T07:00:00Z,Grab,samplewater,1,1,None,NA,NA,NA,4.025,0.1,0.01,partial,NA,NA,NA,NA
120,000NONPJ,2014-05-23T07:00:00Z,Grab,samplewater,1,1,None,NA,NA,NA,0.033,0.1,0.01,partial,NA,NA,NA,NA
121,000NONPJ,2014-05-23T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,000NONPJ,2014-05-23T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,000NONPJ,2014-05-25T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,4.965,0.55,0.34650000000000003,partial,NA,NA,NA,NA
124,000NONPJ,2014-05-25T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,1.65,0.1,0.063,partial,NA,NA,NA,NA
125,000NONPJ,2014-05-27T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,2.53,0.1,0.01,partial,NA,NA,NA,NA
126,000NONPJ,2014-05-28T07:00:00Z,Grab,samplewater,1,1,None,NA,NA,NA,0.0,0.1,0.048,partial,NA,NA,NA,NA
127,000NONPJ,2014-05-28T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,18.131500000000003,2.15,1.3295000000000001,partial,0.672,0.05,0.01,reported
128,000NONPJ,2014-05-28T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,0.063,0.1,0.063,partial,0.724,0.05,0.01,reported
129,000NONPJ,2014-05-30T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,000NONPJ,2014-05-31T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,1.99,0.1,0.01,partial,NA,NA,NA,NA
131,000NONPJ,2014-06-02T07:00:00Z,Grab,samplewater,1,1,None,NA,NA,NA,0.16599999999999998,0.1,0.05,partial,NA,NA,NA,NA
132,000NONPJ,2014-06-02T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,33.1,5.0,3.0,partial,NA,NA,NA,NA
133,000NONPJ,2014-06-03T07:00:00Z,Grab,samplewater,1,1,None,NA,NA,NA,0.0,0.1,0.048,partial,NA,NA,NA,NA
134,000NONPJ,2014-06-03T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.0,0.1,0.05,partial,0.2414,0.029769999999999998,0.00363,reported
135,000NONPJ,2014-06-04T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,33.6,4.1,2.548,partial,NA,NA,NA,NA
136,000NONPJ,2014-06-06T07:00:00Z,Grab,samplewater,1,1,None,NA,NA,NA,6.550000000000001,0.4,0.16,calculated,NA,NA,NA,NA
137,000NONPJ,2014-06-06T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.6253333333333334,0.10000000000000002,0.05000000000000001,partial,0.0428,0.01,0.00083,partial
138,000NONPJ,2014-06-09T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,2.87,0.1,0.01,partial,NA,NA,NA,NA
139,000NONPJ,2014-06-12T07:00:00Z,Grab,samplewater,1,1,None,NA,NA,NA,0.016,0.1,0.01,partial,NA,NA,NA,NA
140,000NONPJ,2014-06-13T07:00:00Z,Grab,samplewater,1,1,None,NA,NA,NA,0.14250000000000002,0.30000000000000004,0.14600000000000002,partial,NA,NA,NA,NA
141,000NONPJ,2014-06-13T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,0.0,0.1,0.048,partial,NA,NA,NA,NA
142,000NONPJ,2014-06-18T07:00:00Z,Grab,samplewater,1,1,None,NA,NA,NA,2.128,0.2,0.060000000000000005,calculated,NA,NA,NA,NA
143,000NONPJ,2014-06-19T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,3.615,0.1,0.01,partial,0.02,0.00977,0.00085,reported
144,000NONPJ,2014-06-23T07:00:00Z,Grab,samplewater,1,1,None,NA,NA,NA,0.124,0.15000000000000002,0.07500000000000001,partial,NA,NA,NA,NA
145,000NONPJ,2014-06-24T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.0,0.1,0.048,partial,0.093,0.00977,0.00085,reported
146,000NONPJ,2014-06-26T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.228,0.1,0.05,partial,NA,NA,NA,NA
147,000NONPJ,2014-06-26T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,0.241,0.1,0.05,partial,NA,NA,NA,NA
148,000NONPJ,2014-07-01T07:00:00Z,Grab,samplewater,1,1,None,NA,NA,NA,2.49,0.1,0.01,partial,NA,NA,NA,NA
149,000NONPJ,2014-07-07T07:00:00Z,Grab,samplewater,1,1,None,NA,NA,NA,0.0,0.1,0.048,partial,NA,NA,NA,NA
150,000NONPJ,2014-07-09T07:00:00Z,Grab,samplewater,1,1,None,NA,NA,NA,26.423000000000002,0.65,0.10500000000000001,calculated,NA,NA,NA,NA
151,000NONPJ,2014-07-11T07:00:00Z,Grab,samplewater,1,1,None,NA,NA,NA,0.0,0.1,0.048,partial,NA,NA,NA,NA
152,000NONPJ,2014-07-11T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.0376,0.1,0.048,partial,NA,NA,NA,NA
153,000NONPJ,2014-07-11T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,0.0691,0.1,0.048,partial,NA,NA,NA,NA
154,000NONPJ,2014-07-16T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,0.077,0.1,0.01,partial,NA,NA,NA,NA
155,000NONPJ,2014-07-17T07:00:00Z,Grab,samplewater,1,1,None,NA,NA,NA,0.3045,0.1,0.05,partial,NA,NA,NA,NA
156,000NONPJ,2014-07-17T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,3.69,0.1,0.01,partial,NA,NA,NA,NA
157,000NONPJ,2014-07-22T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,2.5300000000000002,0.1,0.01,partial,NA,NA,NA,NA
158,000NONPJ,2014-07-29T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.37166666666666665,0.10000000000000002,0.05000000000000001,partial,NA,NA,NA,NA
159,000NONPJ,2014-07-29T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,0.467,0.1,0.05,partial,NA,NA,NA,NA
160,000NONPJ,2014-08-08T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,2.78,0.1,0.01,partial,NA,NA,NA,NA
161,000NONPJ,2014-08-11T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.214,0.1,0.05,partial,NA,NA,NA,NA
162,000NONPJ,2015-04-16T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,NA,NA,NA,NA,0.0,0.05,0.0028,partial
163,000NONPJ,2015-04-17T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.0,0.1,0.059,partial,NA,NA,NA,NA
164,000NONPJ,2015-04-22T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,28.44,5.2,3.11,partial,0.033,0.05,0.0028,partial
165,000NONPJ,2015-04-24T07:00:00Z,Grab,samplewater,1,1,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
166,000NONPJ,2015-04-24T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,1.7138000000000002,0.1,0.01,partial,NA,NA,NA,NA
167,000NONPJ,2015-04-24T07:00:00Z,Grab,samplewater,1,2,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
168,000NONPJ,2015-04-24T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,1.4383333333333335,0.10000000000000002,0.01,partial,NA,NA,NA,NA
169,000NONPJ,2015-04-27T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,6.9567499999999995,0.6916666666666667,0.37425,partial,0.0,0.05,0.02,reported
170,000NONPJ,2015-04-27T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,2.9345,0.4666666666666667,0.22600000000000003,partial,NA,NA,NA,NA
171,000NONPJ,2015-04-28T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,1.7169999999999999,0.1,0.05,partial,NA,NA,NA,NA
172,000NONPJ,2015-04-28T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,3.26,0.1,0.05,partial,NA,NA,NA,NA
