objectid,stationcode,sampledate,sampletypecode,matrixname,fieldreplicate,labreplicate,fractionname,record_origin,origin_lastupdatedate,record_publish,total_n_mgl,total_n_mgl_rl,total_n_mgl_mdl,total_n_mgl_method,total_p_mgl,total_p_mgl_rl,total_p_mgl_mdl,total_p_mgl_method
1188,SMC01004,2019-07-15T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,2.0100000000000002,0.7,0.22,calculated,0.18,0.1,0.05,reported
1189,SMC01004,2019-07-15T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,SMC00836,2020-06-25T07:00:00Z,Grab,samplewater,2,1,Total,NA,NA,NA,NA,NA,NA,NA,4.7,0.02,0.012,reported
1222,SMC01248,2019-08-08T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.706,0.48,0.072,calculated,0.0423,0.02,0.016,reported
1223,SMC01248,2019-08-08T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,NA,NA,NA,NA,0.0,0.02,0.01,partial
1229,SMC01260,2019-08-05T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,1.322,0.48,0.072,calculated,0.0696,0.02,0.016,reported
1230,SMC01260,2019-08-05T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,0.249,0.11,0.027000000000000003,partial,NA,NA,NA,NA
1233,SMC01278,2017-07-19T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.902,0.48,0.08399999999999999,calculated,0.099,0.02,0.016,reported
1284,SMC01694,2018-08-06T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.9619999999999999,0.48,0.072,calculated,0.0532,0.02,0.016,reported
1285,SMC01694,2018-08-06T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,0.6104,0.11,0.027000000000000003,partial,0.049,0.02,0.016,reported
1294,SMC01808,2019-07-09T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.4,0.30000000000000004,0.14,calculated,0.08,0.1,0.05,reported
1295,SMC01808,2019-07-09T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,NA,NA,NA,NA,0.08,0.1,0.05,reported
1367,SMC02656,2018-08-06T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.998,0.48,0.072,calculated,0.114,0.02,0.016,reported
1368,SMC02656,2018-08-06T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,NA,NA,NA,NA,0.0817,0.02,0.016,reported
1384,SMC02972,2019-08-01T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.07200000000000001,0.48,0.072,calculated,0.0388,0.02,0.016,reported
1385,SMC02972,2019-08-01T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,NA,NA,NA,NA,0.0343,0.02,0.016,reported
1389,SMC02976,2018-07-09T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.122,0.48,0.072,calculated,0.0932,0.02,0.016,reported
1390,SMC02976,2018-07-09T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,NA,NA,NA,NA,0.0,0.02,0.01,partial
1398,SMC03216,2019-07-24T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.175,0.48,0.072,calculated,0.0,0.02,0.016,reported
1399,SMC03216,2019-07-24T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,NA,NA,NA,NA,0.0,0.02,0.01,partial
1407,SMC03280,2019-07-24T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.20800000000000002,0.48,0.072,calculated,0.0,0.02,0.016,reported
1409,SMC03390,2017-05-03T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,4.57,0.47000000000000003,0.08399999999999999,calculated,0.122,0.02,0.016,reported
1414,SMC03452,2019-08-15T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.642,0.48,0.072,calculated,0.0209,0.02,0.016,reported
1415,SMC03452,2019-08-15T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,0.6534,0.11,0.027000000000000003,partial,0.0202,0.02,0.016,reported
1429,SMC03984,2017-06-29T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.68,0.30000000000000004,0.10099999999999999,calculated,0.033,0.01,0.00083,reported
1430,SMC03984,2017-06-29T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,NA,NA,NA,NA,0.0323,0.01,0.00083,reported
1431,SMC03984,2018-07-02T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.47,0.30000000000000004,0.133,calculated,0.057999999999999996,0.02,0.012,reported
1432,SMC03984,2018-07-02T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,0.46499999999999997,0.30000000000000004,0.133,calculated,0.054000000000000006,0.02,0.012,reported
1433,SMC03984,2019-07-16T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.21,0.30000000000000004,0.133,calculated,0.038,0.02,0.012,reported
1434,SMC03984,2019-07-16T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,0.0,0.2,0.098,partial,NA,NA,NA,NA
1450,SMC04204,2019-07-30T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.33,0.30000000000000004,0.14,calculated,0.17,0.1,0.05,reported
1451,SMC04204,2019-07-30T07:00:00Z,Grab,samplewater,2,1,Total,NA,NA,NA,0.31,0.30000000000000004,0.14,calculated,0.24,0.1,0.05,reported
1452,SMC04204,2019-07-30T07:00:00Z,Grab,samplewater,2,2,Total,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1464,SMC04524,2017-06-15T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.251,0.48,0.08399999999999999,calculated,0.07200000000000001,0.02,0.016,reported
