"stationcode","yr","d_asci","csci","ipi","xcmg","pct_safn","ev_flowhab","h_aqhab","h_subnat","xcmg","tn","tp","blc","bs","hy","indexscore_cram","ps","comid"
"801M16908","2016","0.2208911917803545","0.78274644","1.1","0.88","0.89","0.55","1","0.85","0.88","12.0","0.13","93.29","55.56","66.67","66","50","22560628"
"801M16916","2016","0.6206001077689363","0.73325394","0.93","1","0.34","0.56","0.9","0.44","1","6.6","1.6","100","58.33","58.33","67","50","22560452"
"801M16932","2017","0.3462129447400529","0.78874397","0.81","0.56","0.66","0.57","0.58","0.79","0.56","0.6","0.12","93.29","61.11","83.33","75","62.5","22560574"
"801M16932","2017","0.3462129447400529","0.78874397","0.81","0.56","0.66","0.57","0.58","0.79","0.56","0.4","0.12","93.29","61.11","83.33","75","62.5","22560574"
"801M16932","2017","0.3462129447400529","0.8390293","0.81","0.56","0.66","0.57","0.58","0.79","0.56","0.6","0.12","93.29","61.11","83.33","75","62.5","22560574"
"801M16932","2017","0.3462129447400529","0.8390293","0.81","0.56","0.66","0.57","0.58","0.79","0.56","0.4","0.12","93.29","61.11","83.33","75","62.5","22560574"
"801M16949","2017","0.7174628795483021","0.71202992","0.74","0.6","0.51","0.55","0.63","0.48","0.6","2.6","0.1","73.92","55.56","75","64","50","948070547"
"901M14145","2019","0.6424218134664715","0.58495434","0.74","0.24","0.72","0.59","0.77","0.8","0.24","0.418","0.0451","67.67","27.78","41.67","44","37.5","20350775"
"901M14145","2019","0.6285305635730942","0.58495434","0.74","0.24","0.72","0.59","0.77","0.8","0.24","0.418","0.0451","67.67","27.78","41.67","44","37.5","20350775"
"901M14145","2019","0.6424218134664715","0.58495434","0.74","0.24","0.72","0.59","0.77","0.8","0.24","0.113","0.0374","67.67","27.78","41.67","44","37.5","20350775"
"901M14145","2019","0.6285305635730942","0.58495434","0.74","0.24","0.72","0.59","0.77","0.8","0.24","0.113","0.0374","67.67","27.78","41.67","44","37.5","20350775"
"901M14145","2019","0.6424218134664715","0.72766531","0.74","0.24","0.72","0.59","0.77","0.8","0.24","0.418","0.0451","67.67","27.78","41.67","44","37.5","20350775"
"901M14145","2019","0.6285305635730942","0.72766531","0.74","0.24","0.72","0.59","0.77","0.8","0.24","0.418","0.0451","67.67","27.78","41.67","44","37.5","20350775"
"901M14145","2019","0.6424218134664715","0.72766531","0.74","0.24","0.72","0.59","0.77","0.8","0.24","0.113","0.0374","67.67","27.78","41.67","44","37.5","20350775"
